Plot	Block	Dry_wet	treatment	depth	Date	Mass_volume	OM	Olsen-P	Total_Al	Total_Ca	Total_Fe	Total_K	Total_Mg	Total_Mn	Total_P	Total_S	Total_Si	Total_Zn	pH-NaCl	Al_NaCl	Al_NaCl_meq	Ca_NaCl	Ca_NaCl_meq	Fe_NaCl	Fe_NaCl_meq	K_NaCl	Mg_NaCl	Mg_NaCl_meq	Mn_NaCl	Mn_NaCl_meq	P_NaCl	S_NaCl	Si_NaCl	Zn_NaCl	NO3_NaCl	NH4_NaCl	Al_Ca_NaCl	total_BC(Ca_K_Mg)	pH_H2O	Al_H2O	Ca_H2O	Fe_H2O	K_H2O	Mg_H2O	Na_H2O	P_H2O	S_H2O	Si_H2O	Zn_H2O	NO3_H2O	NH4_H2O	C/N-Ratio	total_N	total_C	%BS	CEC_meq/L
A1	A	droog	dolokal	0-10	26/11/2020	0.75	11.19	832.51	37.01	13.28	18.24	1.93	5.2	0.13	4.52	9.99	9.73	0.18	4.05	96.3	288.9	9830.7	19661.4	5.5	16.5	384.2	3292.2	6584.4	34.1	68.2	6.3	224.2	133.7	13.1	108.3	47.9	0.01	26630	4.51	62.03	193.58	16.84	155.02	114.96	154.74	6.06	129.71	172.59	1.17	368.18	344.18	22.1	2.7	59.8	67	46
A2	A	droog	controle	0-10	26/11/2020	0.77	10.62	1085.18	35.4	3.17	20.68	2.02	2.93	0.12	4.28	8.94	10.82	0.29	3.24	1366	4098	1811.2	3622.4	12.1	36.3	693.4	1090.2	2180.4	97.2	194.4	11	165.2	75.2	55.7	152.4	267.6	0.75	6496	3.95	40.1	32.34	12.38	127.8	22.21	96.38	6.62	57.22	107.06	0.67	394.23	285.89	19.6	2.8	54.9	16	31
A3	A	droog	biolit	0-10	26/11/2020	0.75	12.84	985.93	40.43	6.57	26.01	2.03	7.57	0.25	5.47	9.52	11.25	0.26	3.31	919.2	2757.6	3995.7	7991.4	7	21	456.2	2920.8	5841.6	55.3	110.6	10.1	165.4	113	35.1	71.9	63.7	0.23	14289	4.36	41.61	111.01	14.94	85.06	136.32	198.7	11.77	75.03	244.95	0.9	290.58	75.05	22.1	2.8	61.8	44	41
A4	A	droog	Soilfeed	0-10	26/11/2020	0.69	13.75	1255.79	99.29	15.46	32.07	16.85	16.51	0.73	7.71	15.05	17.05	0.29	3.25	1533.4	4600.2	4015.2	8030.4	9	27	780.6	1279	2558	32.4	64.8	7.7	180.3	936.6	46.1	82	52.4	0.38	11369	3.87	41.24	36.47	11.35	149.03	7.66	751.46	8.4	69.66	1417.25	1.36	597.88	41.06	19.5	4.4	85.6	26	34
B1	B	droog	dolokal	0-10	26/11/2020	0.65	17.13	870.78	34.98	19.4	18.28	1.84	6.81	0.24	5.49	12.87	8.72	0.25	4.04	77.2	231.6	13287.7	26575.4	3.4	10.2	559.8	4874.6	9749.2	36.2	72.4	4.4	225.4	143.4	19	86.7	241.7	0.01	36884	3.85	59.9	128.49	13.69	110.78	68.83	176.57	3.74	98.44	213.27	0.71	420.92	245.81	22.9	3.4	78	65	52
B2	B	droog	Soilfeed	0-10	26/11/2020	0.69	15.41	1056.85	45.94	7.33	23.37	3.07	5.62	0.25	6.35	14.46	10.72	0.23	3.14	1485.1	4455.3	4210.6	8421.2	9.2	27.6	871.1	2167.8	4335.6	33.7	67.4	6.9	193.5	422.2	60.2	16.1	74.3	0.35	13628	3.8	63.32	39.34	16.47	110.46	7.54	341.73	7.9	62.83	657.09	0.59	138.15	64.58	21	3.9	81.9	26	41
B3	B	droog	biolit	0-10	26/11/2020	0.78	13.42	986.29	47.37	5.88	27.86	2.43	6.08	0.19	5.36	11.48	12.12	0.25	3.14	721.7	2165.1	6380	12760	10	30	560.4	3988.8	7977.6	63.9	127.8	14.3	174.2	82.7	53.7	45.9	157.1	0.11	21298	3.47	48.32	108.21	16.4	111.26	86.17	217.65	28.82	73.42	148.34	0.96	368.74	147.99	23.7	2.9	68.6	44	57
B4	B	droog	controle	0-10	26/11/2020	0.72	14.12	1203.3	39.82	4.7	22.12	2.09	3.89	0.18	5.35	10.94	10.98	0.21	3	1692.3	5076.9	3056.4	6112.8	6	18	493.2	1375.8	2751.6	34.2	68.4	12.5	182.2	80.1	50	237.9	253.7	0.55	9358	3.03	51.07	78.36	11.76	133.03	57.99	182.36	11.95	66.75	137.7	1.42	664.71	250.96	22.3	3.3	73.7	23	46
C1	C	droog	Soilfeed	0-10	26/11/2020	0.62	17.14	1089.31	55.53	8.55	26.4	4.7	7.04	0.24	6.19	15.45	10.52	0.25	3.25	1573.9	4721.7	4017.6	8035.2	5.5	16.5	1111.4	1334.1	2668.2	31.3	62.6	7.6	206	2251.1	41.3	224.5	86.2	0.39	11815	3.95	78.04	38.05	22.44	232.82	7.67	1299.05	14.91	100.96	2634.46	0.57	883.11	31.95	20.2	4.4	88.8	25	43
C2	C	droog	controle	0-10	26/11/2020	0.73	11.24	1174.99	37.23	6.27	21	2.13	4.48	0.25	5.61	12.74	8.94	0.28	3.04	1449.4	4348.2	3242	6484	7.6	22.8	350.4	1989.5	3979	58.1	116.2	10.8	177.9	87	53.4	139.9	216.5	0.45	10813	3.17	54.21	70.65	22.86	52.93	53.93	164.38	9.78	63.61	170.11	1.36	462.93	190.28	21.9	4	87.7	26	43
