	Arbuscularmycorrhizal	Ectomycorrhizal	Endophyte	Ericoid	Plantpathogen	Saprotroph	unassigned	Droog.Vochtig	beh
FA1	0.0025	0	0	0.0238	0.0918	0.7949	0.087	Droog	Dolokal
FA2	0.0045	0	2.00E-04	0.0247	0.0471	0.8006	0.1229	Droog	Controle
FA3	0.0085	0	0.0011	0.0588	0.0815	0.7041	0.146	Droog	Biolit
FA4	0	0	0	0.0468	0.029	0.8184	0.1058	Droog	Soilfeed
FB1	0.0012	0	8.00E-04	0.0225	0.0449	0.888	0.0426	Droog	Dolokal
FB2	5.00E-04	0	8.00E-04	0.0161	0.014	0.9174	0.0512	Droog	Soilfeed
FB3	0.0017	0	3.00E-04	0.0093	0.013	0.8904	0.0853	Droog	Biolit
FB4	0.0031	0.0016	7.00E-04	0.0099	0.031	0.8444	0.1093	Droog	Controle
FC1	0.002	9.00E-04	6.00E-04	0.0212	0.0488	0.8002	0.1263	Droog	Soilfeed
FC2	0	0	0.0026	0.0035	0.007	0.909	0.0779	Droog	Controle
FC3	7.00E-04	7.00E-04	0.001	0.0121	0.029	0.8819	0.0746	Droog	Dolokal
FC4	0.0034	0	0	0.0473	0.0313	0.8697	0.0483	Droog	Biolit
FD1	6.00E-04	0	5.00E-04	0.0109	0.047	0.826	0.115	Droog	Controle
FD2	2.00E-04	0	0	0.0085	0.022	0.8648	0.1045	Droog	Soilfeed
FD3	0	0	0	0.0014	0.0072	0.9687	0.0227	Droog	Dolokal
FD4	0.0043	0	0	0.0027	0.0048	0.9	0.0882	Droog	Biolit
FE1	0.0032	0	0	0.0034	0.031	0.9094	0.053	Droog	Dolokal
FE3	0	0	1.00E-04	0.0043	0.008	0.9459	0.0417	Droog	Soilfeed
FE4	0.001	0	0	0.0049	0.0301	0.9058	0.0582	Droog	Biolit
FF1	1.00E-04	0	0	0.009	0.0119	0.9646	0.0144	Vochtig	Soilfeed
FF2	0.009432995	0	0	0.087357736	0.340613145	0.444273557	0.118322567	Vochtig	Controle
FF3	0.001	7.00E-04	0	0.0122	0.0126	0.9191	0.0544	Vochtig	Dolokal
FF4	0	0	0	0.0479	0.0465	0.8683	0.0373	Vochtig	Biolit
FG1	0.0017	0	0	0.0223	0.0189	0.9057	0.0514	Vochtig	Soilfeed
FG2	6.00E-04	0	0	0.0201	0.0141	0.95	0.0152	Vochtig	Controle
FG3	8.00E-04	0.0014	0	0.02	0.0243	0.9272	0.0263	Vochtig	Dolokal
FG4	3.00E-04	5.00E-04	0	0.0283	0.0066	0.9423	0.022	Vochtig	Biolit
FH1	0.0016	4.00E-04	0	0.0543	0.0104	0.9105	0.0228	Vochtig	Biolit
FH2	0.0019	2.00E-04	0	0.0105	0.0199	0.9605	0.007	Vochtig	Soilfeed
FH3	5.00E-04	0	0	0.0623	0.0099	0.8868	0.0405	Vochtig	Dolokal
FH4	9.00E-04	0	0	0.0419	0.0979	0.5691	0.2902	Vochtig	Controle
FI1	0	2.00E-04	0	0.042	0.0346	0.8959	0.0273	Vochtig	Biolit
FI2	7.00E-04	3.00E-04	0	0.02	0.0064	0.9551	0.0175	Vochtig	Dolokal
FI3	4.00E-04	0	0	0.034	0.0513	0.8883	0.026	Vochtig	Soilfeed
FI4	0	0	0	0.0363	0.0214	0.9322	0.0101	Vochtig	Controle
FJ1	0	0	0	0.0213	0.0016	0.969	0.0081	Vochtig	Dolokal
FJ2	0	0.0021	0	0.0332	0.1185	0.8272	0.019	Vochtig	Soilfeed
FJ3	0.0026	0.0052	0	0.0197	0.0145	0.9289	0.0291	Vochtig	Biolit
FJ4	0.0034	4.00E-04	0	0.1053	0.1018	0.7592	0.0299	Vochtig	Controle
