Plotcode	Plot	Droog/Vochtig	beh	diepte	x	y	Volgnr	Type	Omschrijving	Diversity_fungi	Diversity_prokaryotes	16S_g	FF_g	FF_16S_ratio	Lat	Long
BA1	A	Droog	Dolokal	0-10	184784	451904	NA	Veluwe	Dolokal	3.370286115	5.859319283	28262962	7775483.21	0.27511211	52,054637968888	5.821450669
BA2	A	Droog	Controle	0-10	184784	451904	NA	Veluwe	Controle	3.489148669	5.106397073	25817120	12937344.69	0.501114937	52,054637968888	5.821450669
BA3	A	Droog	Biolit	0-10	184784	451904	NA	Veluwe	Biolit	3.659913067	5.807371847	5872480	2270128.106	0.386570602	52,054637968888	5.821450669
BA4	A	Droog	Soilfeed	0-10	184784	451904	NA	Veluwe	Soilfeed	3.406055918	4.914109469	13568903	8282319.956	0.61038982	52,054637968888	5.821450669
BB1	B	Droog	Dolokal	0-10	184865	451934	NA	Veluwe	Dolokal	2.852392805	5.950144688	2616378	208298.0716	0.07961314	52,0549032429175	5.822634225
BB2	B	Droog	Soilfeed	0-10	184865	451934	NA	Veluwe	Soilfeed	2.60527716	5.37260995	73252341	26487161.72	0.361587922	52,0549032429175	5.822634225
BB3	B	Droog	Biolit	0-10	184865	451934	NA	Veluwe	Biolit	3.047236315	5.061777602	303497619	86361671.48	0.284554692	52,0549032429175	5.822634225
BB4	B	Droog	Controle	0-10	184865	451934	NA	Veluwe	Controle	3.043112111	5.218332	38729432	19745942.78	0.509843329	52,0549032429175	5.822634225
BC1	C	Droog	Soilfeed	0-10	184895	451957	NA	Veluwe	Soilfeed	3.333207431	4.893792561	29426495	23213318.34	0.788857737	52,0551083452328	5.823073623
BC2	C	Droog	Controle	0-10	184895	451957	NA	Veluwe	Controle	2.953458973	4.94229193	104358192	46250466.59	0.44318961	52,0551083452328	5.823073623
BC3	C	Droog	Dolokal	0-10	184895	451957	NA	Veluwe	Dolokal	3.072691501	5.210729812	136901664	43277884.99	0.316123877	52,0551083452328	5.823073623
BC4	C	Droog	Biolit	0-10	184895	451957	NA	Veluwe	Biolit	3.086207921	5.081159174	5826291	22553311.43	3.870954989	52,0551083452328	5.823073623
BD1	D	Droog	Controle	0-10	184958	452000	NA	Veluwe	Controle	3.434121383	5.415653197	35710482	14043049.62	0.393247267	52,0554914190593	5.823995909
BD2	D	Droog	Soilfeed	0-10	184958	452000	NA	Veluwe	Soilfeed	2.806388288	5.439285577	31025831	11192319.27	0.36074197	52,0554914190593	5.823995909
BD3	D	Droog	Dolokal	0-10	184958	452000	NA	Veluwe	Dolokal	2.132379832	5.632635078	427697751	52415473.7	0.122552605	52,0554914190593	5.823995909
BD4	D	Droog	Biolit	0-10	184958	452000	NA	Veluwe	Biolit	3.077222156	5.25161981	187414410	41952608.04	0.223849426	52,0554914190593	5.823995909
BE1	E	Droog	Dolokal	0-10	184858	451979	NA	Veluwe	Dolokal	2.947316668	5.356137278	346463969	101256660.6	0.292257405	52,0553080741778	5.822536104
BE2	E	Droog	Controle	0-10	184858	451979	NA	Veluwe	Controle	NA	5.190797147	138116872	53076274.98	0.384285236	52,0553080741778	5.822536104
BE3	E	Droog	Soilfeed	0-10	184858	451979	NA	Veluwe	Soilfeed	2.586902749	5.449285116	634930990	66614607.42	0.104916296	52,0553080741778	5.822536104
BE4	E	Droog	Biolit	0-10	184858	451979	NA	Veluwe	Biolit	2.598617721	5.516451344	1986897	147130.5203	0.074050419	52,0553080741778	5.822536104
BF1	F	Vochtig	Soilfeed	0-10	187427	455734	NA	Veluwe	Soilfeed	1.751072895	5.476318772	32959169	2911318.396	0.088331061	52,0889128124969	5.860347959
BF2	F	Vochtig	Controle	0-10	187427	455734	NA	Veluwe	Controle	2.954365856	5.734356924	50370307	20035795.9	0.397769975	52,0889128124969	5.860347959
BF3	F	Vochtig	Dolokal	0-10	187427	455734	NA	Veluwe	Dolokal	1.856987154	5.779697246	309655369	61605758.21	0.198949427	52,0889128124969	5.860347959
BF4	F	Vochtig	Biolit	0-10	187427	455734	NA	Veluwe	Biolit	2.671586569	5.195441187	72932008	13890126.65	0.190453094	52,0889128124969	5.860347959
BG1	G	Vochtig	Soilfeed	0-10	187433	455724	NA	Veluwe	Soilfeed	2.610378483	5.236671134	1077144912	95023541.43	0.088217974	52,0888225830618	5.860434551
BG2	G	Vochtig	Controle	0-10	187433	455724	NA	Veluwe	Controle	2.159034091	5.300201041	292555255	15066893.53	0.051501018	52,0888225830618	5.860434551
BG3	G	Vochtig	Dolokal	0-10	187433	455724	NA	Veluwe	Dolokal	2.983513259	5.819063454	281781663	28121219.05	0.099797903	52,0888225830618	5.860434551
BG4	G	Vochtig	Biolit	0-10	187433	455724	NA	Veluwe	Biolit	2.361533699	5.109143176	975956890	71190916.01	0.072944734	52,0888225830618	5.860434551
BH1	H	Vochtig	Biolit	0-10	187437	455716	NA	Veluwe	Biolit	1.60273168	5.363770824	470241613	39651656.16	0.084321879	52,0887504463665	5.860492151
BH2	H	Vochtig	Soilfeed	0-10	187437	455716	NA	Veluwe	Soilfeed	2.042311196	5.238526613	654160237	55797626.47	0.085296573	52,0887504463665	5.860492151
BH3	H	Vochtig	Dolokal	0-10	187437	455716	NA	Veluwe	Dolokal	2.755373285	5.687471805	539325923	48250911.89	0.089465219	52,0887504463665	5.860492151
BH4	H	Vochtig	Controle	0-10	187437	455716	NA	Veluwe	Controle	2.166442482	5.287548152	200906053	30142971.22	0.150035157	52,0887504463665	5.860492151
BI1	I	Vochtig	Biolit	0-10	187441	455744	NA	Veluwe	Biolit	2.42783754	5.378510692	546632596	66955322.67	0.122486883	52,0890018696075	5.860553178
BI2	I	Vochtig	Dolokal	0-10	187441	455744	NA	Veluwe	Dolokal	2.466586934	5.555544993	548044796	54524612.11	0.099489335	52,0890018696075	5.860553178
BI3	I	Vochtig	Soilfeed	0-10	187441	455744	NA	Veluwe	Soilfeed	2.459272323	5.239572294	430857206	62142268.99	0.144229383	52,0890018696075	5.860553178
BI4	I	Vochtig	Controle	0-10	187441	455744	NA	Veluwe	Controle	1.693729617	5.041768854	482078457	53733611.35	0.111462378	52,0890018696075	5.860553178
BJ1	J	Vochtig	Dolokal	0-10	187450	455748	NA	Veluwe	Dolokal	2.466803076	5.348216447	316398805	44279483.47	0.139948327	52,0890372929603	5.860684874
BJ2	J	Vochtig	Soilfeed	0-10	187450	455748	NA	Veluwe	Soilfeed	2.648520035	5.233715757	544405359	98239780.35	0.180453368	52,0890372929603	5.860684874
BJ3	J	Vochtig	Biolit	0-10	187450	455748	NA	Veluwe	Biolit	2.397380256	5.534484667	76914916	14180929.21	0.184371639	52,0890372929603	5.860684874
BJ4	J	Vochtig	Controle	0-10	187450	455748	NA	Veluwe	Controle	2.239078419	5.40508683	1114935511	113839280.2	0.102103915	52,0890372929603	5.860684874
