Plot 	AMF	EMF	Endo	ErMF	PP	S	U	Site	Treatment
FA1	1.219512195	0	0	1.942857143	2.779712339	0.940710059	0.81863091	Dry	Dolokal
FA2	2.195121951	0	0.2	2.016326531	1.426192279	0.947455621	1.15643378	Dry	Control
FA3	4.146341463	0	1.1	4.8	2.467827403	0.833254438	1.373794401	Dry	Biolit
FA4	0	0	0	3.820408163	0.878122634	0.96852071	0.995530463	Dry	Soilfeed
FB1	0.585365854	0	0.8	1.836734694	1.359576079	1.050887574	0.40084686	Dry	Dolokal
FB2	0.243902439	0	0.8	1.314285714	0.423921272	1.085680473	0.481768996	Dry	Soilfeed
FB3	0.829268293	0	0.3	0.759183673	0.393641181	1.053727811	0.802634674	Dry	Biolit
FB4	1.512195122	4	0.7	0.808163265	0.938682816	0.999289941	1.028463891	Dry	Control
FC1	0.975609756	2.25	0.6	1.730612245	1.477668433	0.946982249	1.188426253	Dry	Soilfeed
FC2	0	0	2.6	0.285714286	0.211960636	1.075739645	0.733003999	Dry	Control
FC3	0.341463415	1.75	1	0.987755102	0.878122634	1.043668639	0.701952482	Dry	Dolokal
FC4	1.658536585	0	0	3.86122449	0.947766843	1.029230769	0.454481299	Dry	Biolit
FD1	0.292682927	0	0.5	0.889795918	1.423164269	0.977514793	1.08209833	Dry	Control
FD2	0.097560976	0	0	0.693877551	0.666161998	1.023431953	0.983298048	Dry	Soilfeed
FD3	0	0	0	0.114285714	0.218016654	1.146390533	0.213596801	Dry	Dolokal
FD4	2.097560976	0	0	0.220408163	0.145344436	1.065088757	0.829922371	Dry	Biolit
FE1	1.56097561	0	0	0.27755102	0.938682816	1.076213018	0.498706187	Dry	Dolokal
FE3	0	0	0.1	0.351020408	0.242240727	1.119408284	0.392378264	Dry	Soilfeed
FE4	0.487804878	0	0	0.4	0.911430734	1.071952663	0.54763585	Dry	Biolit
FF1	0.034884544	0	0	0.154661638	0.103332132	1.319644001	0.155265249	Wet	Soilfeed
FF2	3.290657326	0	0	1.501210059	2.9576708	0.60779902	1.275790477	Wet	Control
FF3	0.348845444	8.75	0	0.209652442	0.109410493	1.257396643	0.586557609	Wet	Dolokal
FF4	0	0	0	0.823143606	0.403776819	1.187898493	0.402180125	Wet	Biolit
FG1	0.593037254	0	0	0.383217169	0.164115739	1.239064453	0.554210682	Wet	Soilfeed
FG2	0.209307266	0	0	0.345410991	0.122435552	1.299670123	0.163891097	Wet	Control
FG3	0.279076355	17.5	0	0.343692529	0.211005951	1.26847804	0.283574726	Wet	Dolokal
FG4	0.104653633	6.25	0	0.486324928	0.057310258	1.289135955	0.237210798	Wet	Biolit
FH1	0.55815271	5	0	0.933125215	0.090307073	1.245631208	0.245836645	Wet	Biolit
FH2	0.662806343	2.5	0	0.180438578	0.172799112	1.314034898	0.075476163	Wet	Soilfeed
FH3	0.174422722	0	0	1.070602227	0.085965387	1.213207858	0.436683514	Wet	Dolokal
FH4	0.313960899	0	0	0.720035847	0.850102163	0.778570808	3.129026067	Wet	Control
FI1	0	2.5	0	0.72175431	0.300444687	1.22565733	0.294357035	Wet	Biolit
FI2	0.244191811	3.75	0	0.343692529	0.055573584	1.3066473	0.188690407	Wet	Dolokal
FI3	0.139538177	0	0	0.584277299	0.445457007	1.215259969	0.280340034	Wet	Soilfeed
FI4	0	0	0	0.623801939	0.18582417	1.27531841	0.108901321	Wet	Control
FJ1	0	0	0	0.366032543	0.013893396	1.325663526	0.087336703	Wet	Dolokal
FJ2	0	26.25	0	0.570529597	1.028979635	1.131670659	0.204863871	Wet	Soilfeed
FJ3	0.906998154	65	0	0.338537141	0.125908901	1.270803766	0.313765191	Wet	Biolit
FJ4	1.186074509	5	0	1.809541163	0.883967315	1.03864164	0.322391039	Wet	Control
