	Buffered	Grassland	Heathland	Moss	Ruderal	Woody	Site	Treatment
CD_A220	0.948207368	2.71937706	0.873611239	0.808765707	0	0	Dry	Control
CD_B420	1.665769694	0.541554317	0.857770811	1.230078078	0	0	Dry	Control
CD_C220	0.794587107	0.209890175	1.14599303	0.992241761	0	0	Dry	Control
CD_D120	0.748584827	0.527302887	1.038904715	1.080858076	0	0	Dry	Control
CD_E220	0.842851004	1.001875561	1.083720205	0.888056378	5	0	Dry	Control
SD_A420	1.588491742	1.549292102	0.93768132	0.872606942	11.59794116	0	Dry	Soilfeed
SD_B220	1.679894902	1.084707752	1.599980608	0	17.71653552	0	Dry	Soilfeed
SD_C120	1.056171563	0.433980746	1.044249488	1.016648698	0	0	Dry	Soilfeed
SD_D220	1.704294293	1.555198998	0.973931555	0.816228288	7.352942235	0	Dry	Soilfeed
SD_E320	1.309678714	1.522186634	0.791192731	1.103937482	6.215470372	0.261935743	Dry	Soilfeed
BD_A320	1.259695859	1.572993097	0.888141992	0.938465369	27.17391647	0	Dry	Biolit
BD_B320	1.107718912	2.34083074	0.895262852	0.816991121	10.5140193	0	Dry	Biolit
BD_C420	1.241109098	1.508058786	0.972673329	0.871783103	11.78010118	0	Dry	Biolit
BD_D420	1.448650119	3.061286381	0.827841826	0.709211673	12.5	0	Dry	Biolit
BD_E420	3.058733491	4.443802896	0.842754764	0.179043627	18.14516056	0	Dry	Biolit
DD_A120	1.673307232	1.915350382	0.842387557	0.881526552	26.4705889	0	Dry	Dolokal
DD_B120	1.651107327	1.121502509	0.953165417	0.883638184	33.58209711	0	Dry	Dolokal
DD_C320	0.703119943	1.114374289	0.836406331	1.175922097	28.60169911	0	Dry	Dolokal
DD_D320	1.167742975	3.022900396	0.695914625	0.888603223	33.25123458	0	Dry	Dolokal
DD_E120	0.703119943	1.379701495	0.861006509	1.105366767	19.06779566	0	Dry	Dolokal
CW_F220	0	0	0.930597946	1.345288626	0	5	Wet	Control
CW_G220	0	0	0.85771976	1.825749042	0	0	Wet	Control
CW_H420	0	0	0.99299534	1.052834314	0	0	Wet	Control
CW_I420	0	0	1.125514666	0.295667803	0	0	Wet	Control
CW_J420	0	0	1.093172288	0.480460214	0	0	Wet	Control
SW_F120	0	0	0.769391994	2.33042129	0	0	Wet	Soilfeed
SW_G120	0	0	1.076354246	0.576552297	0	0	Wet	Soilfeed
SW_H220	0	0	1.077069916	0.572463225	0	0	Wet	Soilfeed
SW_I320	0	0	1.06082991	0.591335674	0	5.769229962	Wet	Soilfeed
SW_J220	0	0	1.130638207	0.266393785	0	0	Wet	Soilfeed
BW_F420	0	0	1.06082991	0.591335674	0	5.769229962	Wet	Biolit
BW_G420	0	0	1.141944588	0.201793294	0	0	Wet	Biolit
BW_H120	0	0	1.065899802	0.545387274	0	7.094592395	Wet	Biolit
BW_I120	0	0	1.091420404	0.490469834	0	0	Wet	Biolit
BW_J320	0	0	1.147830901	0.168161078	0	0	Wet	Biolit
DW_F320	0	0	0.977887367	1.084910179	0	4.233870688	Wet	Dolokal
DW_G320	0	0	1.074891815	0.487423428	0	7.60869337	Wet	Dolokal
DW_H320	0	0	1.122078284	0.315302022	0	0	Wet	Dolokal
DW_I220	0	0	1.098778294	0.448429565	0	0	Wet	Dolokal
DW_J120	0	0	1.138451615	0.221750853	0	0	Wet	Dolokal
